Tarih,TP DK EUR A YTL,TP DK USD A YTL
2008-01,1.72,1.17
2008-02,1.75,1.19
2008-03,1.91,1.23
2008-04,2.04,1.30
2008-05,1.94,1.25
2008-06,1.91,1.23
2008-07,1.91,1.21
2008-08,1.76,1.17
2008-09,1.77,1.23
2008-10,1.96,1.47
2008-11,2.02,1.59
2008-12,2.09,1.54
2009-01,2.11,1.59
2009-02,2.12,1.65
2009-03,2.22,1.70
2009-04,2.12,1.60
2009-05,2.11,1.55
2009-06,2.16,1.54
2009-07,2.13,1.51
2009-08,2.11,1.48
2009-09,2.16,1.49
2009-10,2.17,1.46
2009-11,2.21,1.48
2009-12,2.19,1.50
2010-01,2.10,1.47
2010-02,2.06,1.51
2010-03,2.08,1.53
2010-04,2.00,1.49
2010-05,1.94,1.53
2010-06,1.92,1.57
2010-07,1.96,1.54
2010-08,1.94,1.50
2010-09,1.94,1.49
2010-10,1.97,1.42
2010-11,1.96,1.43
2010-12,2.00,1.51
2011-01,2.07,1.55
2011-02,2.16,1.58
2011-03,2.20,1.57
2011-04,2.19,1.52
2011-05,2.25,1.56
2011-06,2.29,1.59
2011-07,2.35,1.65
2011-08,2.50,1.74
2011-09,2.46,1.79
2011-10,2.50,1.83
2011-11,2.45,1.80
2011-12,2.45,1.86
2012-01,2.37,1.84
2012-02,2.31,1.75
2012-03,2.35,1.78
2012-04,2.34,1.78
2012-05,2.31,1.80
2012-06,2.27,1.82
2012-07,2.22,1.80
2012-08,2.21,1.79
2012-09,2.31,1.80
2012-10,2.33,1.79
2012-11,2.29,1.79
2012-12,2.33,1.78
2013-01,2.34,1.76
2013-02,2.37,1.77
2013-03,2.34,1.81
2013-04,2.34,1.80
2013-05,2.37,1.82
2013-06,2.50,1.89
2013-07,2.52,1.93
2013-08,2.60,1.95
2013-09,2.69,2.02
2013-10,2.71,1.99
2013-11,2.73,2.02
2013-12,2.82,2.06
2014-01,3.02,2.22
2014-02,3.02,2.21
2014-03,3.07,2.22
2014-04,2.94,2.13
2014-05,2.87,2.09
2014-06,2.88,2.12
2014-07,2.88,2.12
2014-08,2.88,2.16
2014-09,2.85,2.20
2014-10,2.86,2.26
2014-11,2.79,2.23
2014-12,2.82,2.29
2015-01,2.72,2.33
2015-02,2.79,2.46
2015-03,2.80,2.58
2015-04,2.85,2.65
2015-05,2.96,2.65
2015-06,3.03,2.70
2015-07,2.97,2.69
2015-08,3.17,2.85
2015-09,3.37,3.00
2015-10,3.30,2.93
2015-11,3.09,2.87
2015-12,3.17,2.92
2016-01,3.27,3.01
2016-02,3.26,2.94
2016-03,3.21,2.89
2016-04,3.21,2.83
2016-05,3.31,2.93
2016-06,3.28,2.92
2016-07,3.27,2.96
2016-08,3.32,2.96
2016-09,3.32,2.96
2016-10,3.39,3.07
2016-11,3.53,3.27
2016-12,3.68,3.49
2017-01,3.97,3.73
2017-02,3.91,3.67
2017-03,3.92,3.67
2017-04,3.91,3.65
2017-05,3.93,3.56
2017-06,3.95,3.52
2017-07,4.09,3.56
2017-08,4.14,3.51
2017-09,4.14,3.47
2017-10,4.31,3.66
2017-11,4.55,3.88
2017-12,4.55,3.85
2018-01,4.59,3.77
2018-02,4.67,3.78
2018-03,4.79,3.88
2018-04,4.98,4.05
2018-05,5.22,4.41
2018-06,5.41,4.63
2018-07,5.55,4.75
2018-08,6.61,5.73
2018-09,7.42,6.37
2018-10,6.74,5.86
2018-11,6.11,5.37
2018-12,6.04,5.31
2019-01,6.13,5.37
2019-02,5.98,5.26
2019-03,6.16,5.44
2019-04,6.45,5.74
2019-05,6.77,6.05
2019-06,6.56,5.81
2019-07,6.37,5.67
2019-08,6.26,5.62
2019-09,6.29,5.71
2019-10,6.39,5.78
2019-11,6.34,5.73
2019-12,6.48,5.84
2020-01,6.58,5.92
2020-02,6.59,6.04
2020-03,6.99,6.31
2020-04,7.42,6.82
2020-05,7.56,6.95
2020-06,7.66,6.81
2020-07,7.82,6.85
,,
,,
Seri Açıklamaları,,
TP.DK.EUR.A.YTL,(EUR) Euro (Döviz Alış)-Düzey,Gözlem Değeri: Orijinal Gözlem
TP.DK.USD.A.YTL,(USD) ABD Doları (Döviz Alış)-Düzey,Gözlem Değeri: Orijinal Gözlem
,,
Notlar,,
TP.DK.EUR.A.YTL,Veri Kaynağı,TCMB
,Etiketler,"Kurlar, Döviz, Kurları, Günlük"
TP.DK.USD.A.YTL,Veri Kaynağı,TCMB
,Etiketler,"Kurlar, Döviz, Kurları, Günlük"
